trade_no,side,entry_time,exit_time,entry_price,exit_price,size_usd,margin_used,pnl_usd,pnl_pct,exit_reason
1,long,2023-07-09 04:15,2023-07-09 05:15,1867.93,1869.0,665.0,18.601,-0.0181,-0.1,signal
2,short,2023-07-09 05:20,2023-07-09 06:30,1867.7,1864.75,664.3992,18.5842,0.6508,3.5,signal
3,long,2023-07-09 06:35,2023-07-09 06:45,1866.61,1867.57,686.0372,19.1894,-0.0588,-0.31,signal
4,short,2023-07-09 06:50,2023-07-09 07:00,1865.98,1864.68,684.0823,19.1348,0.0661,0.35,signal
5,long,2023-07-09 07:05,2023-07-09 07:15,1866.84,1866.25,686.2815,19.1963,-0.6287,-3.27,signal
6,long,2023-07-09 07:50,2023-07-09 08:15,1865.08,1867.37,665.3785,18.6116,0.4177,2.24,signal
7,short,2023-07-09 09:00,2023-07-09 09:30,1867.12,1863.75,679.2685,19.0001,0.8185,4.31,signal
8,long,2023-07-09 10:15,2023-07-09 10:30,1866.33,1868.37,706.4824,19.7613,0.3483,1.76,signal
9,short,2023-07-09 10:50,2023-07-09 11:15,1866.71,1866.63,718.0645,20.0853,-0.4001,-1.99,signal
10,long,2023-07-09 11:20,2023-07-09 12:30,1867.0,1877.668,704.7623,19.7132,3.6042,18.28,take_profit
11,short,2023-07-09 13:05,2023-07-09 13:50,1877.1,1866.3743,824.6004,23.0653,4.217,18.28,take_profit
12,short,2023-07-09 13:50,2023-07-09 15:15,1865.08,1864.32,964.8159,26.9873,-0.1857,-0.69,signal
13,short,2023-07-09 16:00,2023-07-09 16:15,1863.14,1861.58,958.6401,26.8145,0.2275,0.85,signal
14,long,2023-07-09 16:20,2023-07-09 16:45,1862.68,1864.12,966.2039,27.0261,0.1672,0.62,signal
15,long,2023-07-09 17:00,2023-07-09 18:00,1863.41,1867.25,971.7643,27.1816,1.4195,5.22,signal
16,short,2023-07-09 18:05,2023-07-09 18:30,1867.47,1865.72,1018.9625,28.5018,0.3435,1.21,signal
17,long,2023-07-09 18:35,2023-07-09 18:45,1866.27,1867.16,1030.3835,28.8213,-0.1269,-0.44,signal
18,short,2023-07-09 18:50,2023-07-09 19:15,1866.29,1863.46,1026.1656,28.7033,0.9404,3.28,signal
19,long,2023-07-09 19:20,2023-07-09 20:15,1863.49,1869.79,1057.4324,29.5779,2.9405,9.94,signal
20,short,2023-07-09 20:20,2023-07-09 20:30,1868.92,1863.57,1155.2026,32.3127,2.6138,8.09,signal
21,long,2023-07-09 20:45,2023-07-09 21:00,1867.13,1870.2,1242.1108,34.7436,1.2971,3.73,signal
22,long,2023-07-09 21:15,2023-07-09 21:30,1866.72,1869.99,1285.2379,35.9499,1.4803,4.12,signal
23,short,2023-07-09 21:35,2023-07-09 22:00,1869.39,1858.7083,1334.4564,37.3267,6.8244,18.28,take_profit
24,short,2023-07-09 22:00,2023-07-09 22:15,1861.27,1860.04,1561.368,43.6737,0.095,0.22,signal
25,long,2023-07-09 22:30,2023-07-09 22:45,1863.3,1866.45,1564.5265,43.762,1.7062,3.9,signal
26,short,2023-07-09 22:50,2023-07-09 23:45,1866.25,1860.67,1621.2574,45.3489,3.8747,8.54,signal
27,short,2023-07-10 00:00,2023-07-10 00:10,1859.83,1849.2029,1750.0921,48.9526,8.95,18.28,take_profit
28,long,2023-07-10 00:15,2023-07-10 00:30,1851.19,1859.81,2047.6787,57.2765,8.3063,14.5,signal
29,short,2023-07-10 00:50,2023-07-10 01:15,1855.15,1852.28,2323.8643,65.0018,2.2008,3.39,signal
30,short,2023-07-10 01:30,2023-07-10 02:00,1858.78,1853.9,2397.041,67.0487,4.8549,7.24,signal
31,long,2023-07-10 02:05,2023-07-10 02:55,1854.29,1864.8854,2558.4669,71.564,13.084,18.28,take_profit
32,long,2023-07-10 02:55,2023-07-10 03:00,1864.27,1865.5,2993.5099,83.7327,0.1789,0.21,signal
33,short,2023-07-10 03:05,2023-07-10 04:15,1866.2,1860.08,2999.4596,83.8992,8.0367,9.58,signal
34,short,2023-07-10 04:35,2023-07-10 05:00,1861.81,1859.91,3266.6808,91.3737,1.3737,1.5,signal
35,long,2023-07-10 05:05,2023-07-10 05:15,1860.19,1860.31,3312.3556,92.6513,-1.7737,-1.91,signal
36,short,2023-07-10 05:20,2023-07-10 06:00,1860.39,1852.97,3253.3789,91.0017,11.0238,12.11,signal
37,long,2023-07-10 06:05,2023-07-10 06:15,1853.4,1854.01,3619.9198,101.2543,-0.9805,-0.97,signal
38,short,2023-07-10 06:20,2023-07-10 06:50,1854.88,1853.26,3587.3166,100.3424,0.9807,0.98,signal
39,short,2023-07-10 07:15,2023-07-10 07:35,1855.0,1854.86,3619.924,101.2544,-1.8988,-1.88,signal
40,short,2023-07-10 07:45,2023-07-10 07:50,1856.4,1853.19,3556.7904,99.4885,4.0162,4.04,signal
41,short,2023-07-10 08:05,2023-07-10 08:15,1854.44,1851.96,3690.3278,103.2237,2.721,2.64,signal
42,long,2023-07-10 08:20,2023-07-10 09:05,1853.1,1854.72,3780.8008,105.7544,1.0367,0.98,signal
43,long,2023-07-10 09:15,2023-07-10 09:50,1854.75,1861.1,3815.2723,106.7186,10.773,10.09,signal
44,long,2023-07-10 10:00,2023-07-10 12:30,1860.56,1864.33,4173.4733,116.738,5.9525,5.1,signal
45,short,2023-07-10 12:35,2023-07-10 12:45,1863.2,1859.8,4371.3942,122.2741,5.3542,4.38,signal
46,long,2023-07-10 13:00,2023-07-10 14:30,1861.94,1866.0,4549.42,127.2538,7.1905,5.65,signal
47,long,2023-07-10 14:45,2023-07-10 15:00,1866.55,1868.49,4788.5026,133.9413,2.1038,1.57,signal
48,long,2023-07-10 15:15,2023-07-10 16:00,1866.4,1868.95,4858.4551,135.8979,3.7229,2.74,signal
49,short,2023-07-10 16:05,2023-07-10 16:30,1866.86,1866.2,4982.2405,139.3604,-1.2279,-0.88,signal
50,long,2023-07-10 16:35,2023-07-10 17:00,1867.44,1870.38,4941.4112,138.2183,4.8147,3.48,signal
51,short,2023-07-10 17:05,2023-07-10 18:00,1870.6,1867.73,5101.4985,142.6962,4.7662,3.34,signal
52,long,2023-07-10 18:05,2023-07-10 18:30,1868.37,1879.0459,5259.9733,147.129,26.8995,18.28,take_profit
53,long,2023-07-10 18:30,2023-07-10 19:00,1879.55,1890.2897,6154.3818,172.1469,31.4735,18.28,take_profit
54,long,2023-07-10 19:00,2023-07-10 19:15,1887.77,1891.11,7200.876,201.4188,8.4199,4.18,signal
55,long,2023-07-10 19:30,2023-07-10 20:00,1891.9,1902.7103,7480.8365,209.2497,38.257,18.28,take_profit
56,short,2023-07-10 20:00,2023-07-10 20:35,1901.79,1890.9232,8752.8817,244.8306,44.7622,18.28,take_profit
57,short,2023-07-10 21:05,2023-07-10 21:15,1891.77,1891.5,10241.2261,286.4617,-4.6831,-1.63,signal
58,long,2023-07-10 21:20,2023-07-10 21:45,1891.44,1890.38,10085.5139,282.1062,-11.7034,-4.15,signal
59,short,2023-07-10 21:50,2023-07-10 21:55,1887.71,1876.9236,9696.3749,271.2215,49.5873,18.28,take_profit
60,long,2023-07-10 22:00,2023-07-10 22:30,1867.41,1876.38,11345.1514,317.3401,47.6887,15.03,signal
61,short,2023-07-10 22:35,2023-07-10 22:45,1874.72,1873.98,12930.8011,361.693,-2.6544,-0.73,signal
62,long,2023-07-10 22:50,2023-07-11 00:15,1875.21,1881.39,12842.5435,359.2243,34.6188,9.64,signal
63,short,2023-07-11 00:20,2023-07-11 00:45,1880.41,1876.3,13993.6172,391.4215,22.1896,5.67,signal
64,long,2023-07-11 00:50,2023-07-11 01:05,1875.39,1879.69,14731.421,412.0589,24.9382,6.05,signal
65,long,2023-07-11 01:15,2023-07-11 03:15,1879.8,1876.88,15560.6155,435.2526,-33.5076,-7.7,signal
66,short,2023-07-11 03:20,2023-07-11 03:45,1875.96,1877.26,14446.4893,404.0889,-18.679,-4.62,signal
67,long,2023-07-11 03:50,2023-07-11 04:30,1877.99,1878.8,13825.4125,386.7165,-2.3322,-0.6,signal
68,short,2023-07-11 04:45,2023-07-11 06:00,1878.2,1878.6,13747.8676,384.5475,-11.1766,-2.91,signal
69,long,2023-07-11 06:05,2023-07-11 06:30,1879.65,1890.3903,13376.2455,374.1527,68.4061,18.28,take_profit
70,short,2023-07-11 06:30,2023-07-11 07:30,1885.58,1881.77,15650.749,437.7738,22.2334,5.08,signal
71,long,2023-07-11 07:35,2023-07-11 07:45,1882.7,1883.9,16390.0106,458.452,0.6127,0.13,signal
72,short,2023-07-11 07:50,2023-07-11 08:15,1882.87,1881.86,16410.3828,459.0219,-1.0435,-0.23,signal
73,long,2023-07-11 08:20,2023-07-11 08:30,1882.44,1882.66,16375.688,458.0514,-7.9116,-1.73,signal
74,short,2023-07-11 08:45,2023-07-11 09:20,1879.7,1868.9594,16112.6276,450.6932,82.4,18.28,take_profit
75,short,2023-07-11 09:25,2023-07-11 09:45,1870.37,1867.74,18852.4268,527.3293,15.1977,2.88,signal
76,short,2023-07-11 10:00,2023-07-11 11:15,1869.02,1868.53,19357.7495,541.4639,-6.5396,-1.21,signal
77,short,2023-07-11 11:30,2023-07-11 12:45,1869.73,1869.2,19140.3065,535.3817,-6.0586,-1.13,signal
78,short,2023-07-11 13:00,2023-07-11 13:45,1869.11,1867.55,18938.8578,529.7469,4.4435,0.84,signal
79,short,2023-07-11 14:00,2023-07-11 14:15,1866.53,1864.36,19086.6032,533.8796,10.7378,2.01,signal
80,long,2023-07-11 14:30,2023-07-11 14:45,1871.53,1875.0,19443.6363,543.8663,24.3842,4.48,signal
81,short,2023-07-11 14:50,2023-07-11 15:00,1874.0,1873.54,20254.4118,566.5448,-7.1809,-1.27,signal
82,long,2023-07-11 15:05,2023-07-11 15:15,1874.79,1878.66,20015.6464,559.8662,29.3075,5.23,signal
83,short,2023-07-11 15:20,2023-07-11 15:30,1874.0,1870.79,20990.1219,587.1237,23.3602,3.98,signal
84,long,2023-07-11 15:35,2023-07-11 16:00,1871.76,1870.69,21766.8483,608.8498,-25.5032,-4.19,signal
85,long,2023-07-11 16:30,2023-07-11 16:45,1868.01,1872.55,20918.8661,585.1306,38.2898,6.54,signal
86,short,2023-07-11 16:50,2023-07-11 17:00,1874.18,1869.6,22192.0007,620.742,40.9162,6.59,signal
87,long,2023-07-11 17:15,2023-07-11 18:15,1871.44,1872.24,23552.4636,658.7961,-4.0633,-0.62,signal
88,short,2023-07-11 18:20,2023-07-11 18:30,1870.62,1868.21,23417.3585,655.017,16.1192,2.46,signal
