aec_point,Age,BMI,SMI,Sex(M=1),Sarcopenia,TAMA
0,-0.3225679214726443,-0.35084701082355996,-0.1770343577321596,-0.1998542630541553,-0.02224315314056068,-0.2014304191178616
1,-0.3290613779627931,-0.3553974338877676,-0.18887231709037444,-0.2152221272960602,-0.02380954411165638,-0.21499205456478182
2,-0.3325929413223911,-0.3556889990494289,-0.2007204524394852,-0.23078384467427976,-0.024522616536621994,-0.22657586966388976
3,-0.33188035910749875,-0.35510010750268667,-0.20736343249362052,-0.2424810575682065,-0.025115151405970933,-0.23440907068547992
4,-0.3296345474354945,-0.3559773970100908,-0.21331879524361397,-0.25243064646956387,-0.026169963412195366,-0.24165594188855022
5,-0.3160346039758919,-0.35965306849832424,-0.2140608110730825,-0.25350933911949664,-0.026712479979074125,-0.2433995253389272
6,-0.3344105057579067,-0.35419717847951504,-0.22444655453691625,-0.26870649410121455,-0.031487237086462706,-0.25159575622649294
7,-0.3365037832509802,-0.35207507831992074,-0.23016958746786162,-0.27652133626286507,-0.03140568740490332,-0.2562328559297895
8,-0.3336265115914823,-0.35146933319185536,-0.23741360551741764,-0.282995726003045,-0.027967163779384886,-0.2623593558143338
9,-0.33262041562630235,-0.34886834101588093,-0.23735801340998058,-0.28459529141946843,-0.02632881505096369,-0.2615409560945265
10,-0.3331119789764909,-0.3495211050632113,-0.23926977248260864,-0.2869449021453712,-0.02711502690732021,-0.2631085043779
11,-0.3344347711992671,-0.3497769199357139,-0.2452096160567987,-0.29027396553670914,-0.024748755227019255,-0.2667671495996343
12,-0.3374455256683804,-0.3511127597064548,-0.24973074021145333,-0.29472087224405374,-0.023021253113819196,-0.269992954131793
13,-0.34126427384453334,-0.35157855313766234,-0.2531506342565308,-0.29936629842156176,-0.02410620984351537,-0.27265355366469
14,-0.3408688147802868,-0.3500675648662832,-0.2521961750979554,-0.29751554432817323,-0.02228752002333159,-0.2700802996157598
15,-0.3411886289698039,-0.34738476420980513,-0.24920611869316323,-0.29626665087523624,-0.022025301663682797,-0.2667898579845383
16,-0.3404493488546705,-0.34527943580121134,-0.2497559861020915,-0.29637434413576996,-0.019496867008346918,-0.2666049565939003
17,-0.33877833467048035,-0.34421186749362953,-0.2527662958520272,-0.297421488875087,-0.0156035578289525,-0.2681954062759443
18,-0.33492298362764106,-0.34378789354689493,-0.2590577156105284,-0.30101522465758396,-0.01089234383157171,-0.2720193840603024
19,-0.33199682306337863,-0.3431920553415196,-0.26399470904991834,-0.3054000035019838,-0.006508328595547418,-0.2752440526232543
20,-0.32852558537827375,-0.340880548933487,-0.2643132044274055,-0.30690848711648366,-0.005606218608099161,-0.2754479519269384
21,-0.3250104529449405,-0.3375082882281757,-0.26270566404631324,-0.3041930983602408,-0.0037138389993773353,-0.2737915177227044
22,-0.3201677435639745,-0.3336802877146581,-0.26188262433511184,-0.3030267062247193,-0.003942070192641743,-0.273242033220853
23,-0.3122682792717478,-0.3296492191634768,-0.2656599257719119,-0.305420645202883,-0.001962065692635125,-0.2764540301190595
24,-0.30127813175832013,-0.3257912349077406,-0.2746824084229622,-0.3120570253848767,-0.0013770352205195742,-0.28487355163144845
25,-0.2919175984577119,-0.3207292436761827,-0.2770742206577288,-0.31417244839538483,-0.002131457851385418,-0.28677406516117515
26,-0.2843668466973368,-0.31368518036128173,-0.2741589695845018,-0.31446020072539554,-0.0036576234713922,-0.28442809003247255
27,-0.2745005452283112,-0.30802325118565965,-0.2726048179489648,-0.3146584328299713,-0.004059637642889777,-0.2836257680107637
28,-0.2631853749474301,-0.3021543422453115,-0.2726365216632779,-0.31575325786913183,-0.005960363799456321,-0.28440153897674947
29,-0.25438113161937814,-0.295177478620852,-0.272987390166267,-0.31540388193032615,-0.00328788041356648,-0.2854438178122636
30,-0.24143549930577904,-0.28758465061086225,-0.2759963358833455,-0.31793688862303116,-0.0031290636036800787,-0.28868212463098525
31,-0.22839428388459468,-0.2769233052092709,-0.2749894838582698,-0.3193848722498111,-0.004952401803954986,-0.28860969921029456
32,-0.22023158802947512,-0.26856938638926037,-0.27331274015186335,-0.3227481489330771,-0.007373207968633142,-0.2885164229336346
33,-0.2115214783808511,-0.26720283601703,-0.2781682936218814,-0.3366084774546605,-0.007085880537537888,-0.2991530304976263
34,-0.1963487786990854,-0.2630447956789615,-0.28247840888166287,-0.34511608078651873,-0.007496004809815913,-0.3065300410559391
35,-0.18194022636833024,-0.2561459711777909,-0.28975056460760934,-0.3510564620965612,-0.005110624258456109,-0.31334163617329197
36,-0.16729346835506947,-0.24786392956909725,-0.2953654317589046,-0.35456680326021284,-0.005234577850659477,-0.3190838921318717
37,-0.14507990271157678,-0.23920370281577316,-0.30194710931174007,-0.35670987821664973,-0.006487958277136335,-0.32505689956216016
38,-0.12912034019938684,-0.23174769038762852,-0.3084178384552154,-0.36182258134056944,-0.009607931128283153,-0.3319636669540643
39,-0.09986169456189,-0.23418024779002225,-0.3029106002553714,-0.3543864846176414,-0.006136692567293705,-0.33031632790142257
40,-0.10176183159625346,-0.22010586730601295,-0.3260785481701662,-0.38537629935853257,-0.002202100073274376,-0.35464096060773304
41,-0.08938362147498079,-0.21444445233987303,-0.3363628854033247,-0.4014232964537271,-6.891262560630841e-05,-0.3658180987618625
42,-0.07743563486345403,-0.20567856408675542,-0.3418819122122966,-0.4130834515336806,0.001218367119428791,-0.372833605726897
43,-0.06436613099505661,-0.19652247484771923,-0.34751549285475214,-0.42290558527369493,0.0020487945288588396,-0.3790376960478131
44,-0.05034233946814375,-0.1922100359833036,-0.3525958105200343,-0.4318313654365075,-0.002411020304100729,-0.38588084570894354
45,-0.04366186705602883,-0.18668277416938805,-0.3644024521900669,-0.44675679745047014,0.0017635180186184787,-0.39981480445564477
46,-0.038094155159931885,-0.18722123957834189,-0.3762492346779095,-0.46025808257604545,0.007241381836267398,-0.4118340132338567
47,-0.02658972634021828,-0.19419912894198096,-0.3863959367355847,-0.47339585787157595,0.013927614125659005,-0.42595121309095857
48,-0.019793880269564707,-0.1928877543612817,-0.3915538617590989,-0.48209050947752846,0.01806755920484954,-0.4329822136214493
49,-0.008330386519014903,-0.19165298188228158,-0.39573865815781184,-0.4885926673935604,0.020417890112714724,-0.4373918941159824
50,-0.0019551941594566635,-0.18748098440462865,-0.3985086110057769,-0.49599348786633657,0.019274458548999566,-0.4405283068532724
51,-0.0012244172282703098,-0.18352488015649795,-0.4016012933172051,-0.5009116612964886,0.02279327487049237,-0.44387942851972173
52,0.008276725541786571,-0.17488859878007068,-0.4043788782934545,-0.5049013177662589,0.026357355610827773,-0.44757153023475155
53,0.019842481944152213,-0.1650732002500142,-0.4060594247784305,-0.5094021588810985,0.029517692385021013,-0.45067771004025836
54,0.027559174868740134,-0.15929109578445202,-0.40980623708389674,-0.5143722432675368,0.03317708473004437,-0.4565163577586441
55,0.03216443265987137,-0.14905655651536737,-0.40376724995137114,-0.5073559552917156,0.03829057174874511,-0.4511414068701948
56,0.04016641741713604,-0.13325244834016903,-0.3927498867645508,-0.49665565060390077,0.0452572110955247,-0.4395505351390797
57,0.0475944320287819,-0.11083073336229736,-0.377047780334345,-0.4879203673386249,0.046173911259924934,-0.42562149402429333
58,0.0631239152515664,-0.09873548839692314,-0.3543331820808585,-0.46837790349538677,0.04341085104395865,-0.40649961849530464
59,0.0659808727004872,-0.07073626312968538,-0.3409367331664364,-0.46327310457001736,0.03750610881046429,-0.39331929928464887
60,0.07269020593575677,-0.04215169638275288,-0.3208200221032866,-0.45222473281010256,0.03313566255054163,-0.3764063196834583
61,0.07734758947908639,-0.01313745699427168,-0.2966810964615438,-0.43404820663357974,0.0311267035739476,-0.35443094167709444
62,0.0862852760851468,0.020800733715093445,-0.2643086248624766,-0.40613310170112527,0.026411153583915676,-0.32095547204601954
63,0.09964321221587473,0.05855817207620047,-0.22494306296178193,-0.37316282885759167,0.015172131838978382,-0.2788054545464939
64,0.11014542144369457,0.09659526578631979,-0.18482467471724082,-0.3411598461863784,0.006383726360126044,-0.23615305609494605
65,0.11506385595309081,0.14034218120262543,-0.14471688453743994,-0.3050923322912988,-0.0024498836138479884,-0.19176283236810918
66,0.1383570717833106,0.17137735863609216,-0.10543891650085031,-0.2695236308986342,-0.01030035696662842,-0.15188571132782808
67,0.14669939960639372,0.20736542592746462,-0.06472660646814275,-0.23184081071331414,-0.019545707028893272,-0.10880885182823957
68,0.140860257527133,0.2529756514004962,-0.020178330003506363,-0.18466167887068158,-0.02923628440076252,-0.05774955624733324
69,0.17034138268978022,0.273470166575975,0.02115762360057434,-0.13883208211290934,-0.03656065787964663,-0.013983062505646925
70,0.18120390776815176,0.29858864532805796,0.05419771258445833,-0.0991416519638428,-0.04222213426977089,0.02436939877322957
71,0.17243454431013097,0.32698910122812264,0.07994517217194201,-0.06499694127312695,-0.044765734620952534,0.058274397403806064
72,0.19763819116099487,0.342921420776135,0.11222707520634373,-0.024157907938520257,-0.043861363551239194,0.09283233684489624
73,0.20591676757017924,0.36612402017282725,0.14042615175557854,0.015426070577485185,-0.043861791553859907,0.12666473074758855
74,0.21130470350581018,0.3854276993456811,0.16612558336787905,0.05370572691605747,-0.0453136920101701,0.15789985543204627
75,0.21715200537749818,0.3984570947554174,0.18789408054889353,0.0873416667893843,-0.04337401918865672,0.18436053183542883
76,0.22649785060865854,0.41153278583074504,0.2097751938944242,0.11809430230502696,-0.04361465301872896,0.20958552819850768
77,0.23462793979031013,0.4228141007622536,0.22959007290201455,0.14539197605834084,-0.04097651623555801,0.23260038988069437
78,0.24120727386659635,0.431730426626737,0.24780497780200086,0.16992114445078796,-0.040788459871696735,0.2537675898768491
79,0.247349391466397,0.439741965091453,0.2667870924678844,0.19738141418273988,-0.04144226438281458,0.2754477521074786
80,0.25137353205646534,0.4446583029112216,0.2830356894317313,0.2242538795963399,-0.039400835277277856,0.29523902088708326
81,0.2588786128287479,0.4471411290924525,0.29609662189096453,0.25108466435353954,-0.03282534414768291,0.3131615634038865
82,0.2674992222795283,0.4487074696630099,0.3100046842990597,0.27636006588984213,-0.025947634663887074,0.3301918967173206
83,0.27558490863609675,0.4484033365016271,0.32301832099984173,0.2982592019479247,-0.02367287426709988,0.3454027237185353
84,0.2832531961310543,0.4499419463657689,0.33579074944075543,0.3215645211301235,-0.022622594220552326,0.36175428330009807
85,0.28701699221771576,0.451800059831356,0.35198902045636454,0.34464760954781576,-0.025582376728075368,0.3797739883113868
86,0.29278991239087654,0.4495445003298956,0.36286133087788397,0.3666455803732746,-0.023243340105430037,0.3936536876108611
87,0.2970070826387059,0.4447557092664811,0.37152324187738084,0.38666465469342065,-0.02001333601285326,0.40501881224197606
88,0.30151245430757306,0.4407603330752237,0.3845605810520699,0.4083533575537666,-0.017670457083136817,0.42020250208509274
89,0.3014346345590585,0.4345120057882709,0.39577848976367414,0.42699169353882144,-0.01818293232405668,0.43229158238156046
90,0.3016264566016602,0.42917010473259176,0.403085674101757,0.4442395445490718,-0.018086473664529975,0.4417754869104167
91,0.29887014427229586,0.4268484012260075,0.4159217702336848,0.46450990441740375,-0.020615348002964114,0.45598566767352844
92,0.2959372213381335,0.4216414141806152,0.42726448573696707,0.4843713076130652,-0.0188506682232618,0.4690033235987116
93,0.2906966936606324,0.4133293926284667,0.4366668248606249,0.5021211094705805,-0.01598585972280758,0.4796419359507776
94,0.2837586176302736,0.4049626975544285,0.45040474298836064,0.5231257408755776,-0.015253136489419906,0.4931385759244322
95,0.27757995612878245,0.4009510928636169,0.4624322618077341,0.5402913207259137,-0.018360334909097994,0.5045412382283669
96,0.2717086024959714,0.3974823604960651,0.47120912608477034,0.5564421476043512,-0.022046828369582144,0.5138217619495653
97,0.26263151083341474,0.389338506044835,0.47860949689251997,0.5717277668696147,-0.022832811080883985,0.5225032607054306
98,0.252668341945016,0.37840183424194135,0.48576592210781244,0.587750172910359,-0.020726443330902036,0.5319954906259763
99,0.24541042508928945,0.3642452524988262,0.4908233598837958,0.6039818905871174,-0.014692525132831057,0.5394925442441639
100,0.2323304324949658,0.351018176158833,0.49661685890068996,0.6165072210167355,-0.013834397649252064,0.5456709666726886
101,0.21792827904805756,0.34077210365785254,0.5006696003031054,0.6268065028778768,-0.011029668690943874,0.550977349771994
102,0.208713220823326,0.3270344264187799,0.5011507685056548,0.6365668146078878,-0.00859083737350639,0.5538038979359361
103,0.2042930945423882,0.3113499951350806,0.49712617459759423,0.640279656931481,-0.009166390647923387,0.5518980961023239
104,0.2004384125764568,0.2917193248249574,0.489370648512785,0.6442165203987886,-0.002295637454482312,0.5470548208209683
105,0.19388760760380433,0.2743652661423988,0.4873628104876489,0.6522403229809025,0.003520955913511008,0.5473121173071259
106,0.17351855131450136,0.2661260074185678,0.4786640960509219,0.6431900471985078,0.004530509407470891,0.5386510826343052
107,0.1514084301200738,0.25007600197103697,0.4666056992930642,0.6344990903478329,0.011682586518733709,0.5268441376188976
108,0.14716487000137896,0.2267275248673864,0.46735231636579416,0.6458604476505748,0.016318858012280606,0.5295994846491737
109,0.13143095186785067,0.20761121940040786,0.45093786958090626,0.6369521928639913,0.01993068141325091,0.5156301043309495
110,0.13262174561339618,0.17567873044190657,0.43542029562633233,0.6324765259446784,0.02750720385313834,0.49922757381291366
111,0.12048656751312808,0.15055733176280356,0.4196121788585493,0.6218706768219978,0.030151950866230903,0.482859572873621
112,0.10690839654329844,0.12513689425273763,0.39989833983256934,0.610352683552108,0.03576300837097823,0.4644331420697679
113,0.08694724338275857,0.09459938288321942,0.3723312720538917,0.5882301417195225,0.04089985734795872,0.4373100872398588
114,0.06820743234662813,0.05532263212780988,0.3407822258686981,0.5587554346834609,0.04645877062231724,0.40298272523265577
115,0.053513773100434175,0.01912677329175728,0.3048721591603876,0.521985916708524,0.049966374615668434,0.3626096802834259
