N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected
964,117,none,964,0.181889,0.081236,275,640,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.37606837606837606,-0.3162393162393162,0.7532467532467533,0.27863046044864226,-0.474616292798111,0.745850622406639,0.29045643153526973,-0.4553941908713693,0.2793103448275862,0.06717557251908397,0.9465875370919882,0.7637540453074434,44,73,236,611,34,71,204,606,0.00039070001552236726,4.816238636202962e-47,1.9497436804837537e-49,238,677,-439
964,117,none,964,0.181889,0.118352,275,621,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.37606837606837606,-0.3162393162393162,0.7532467532467533,0.3010625737898465,-0.45218417945690675,0.745850622406639,0.31016597510373445,-0.43568464730290457,0.2793103448275862,0.06918238993710692,0.9465875370919882,0.7774390243902439,44,73,255,592,34,71,204,587,0.00039070001552236726,9.63167789984202e-44,3.1731698879817923e-46,238,658,-420
964,117,none,964,0.181889,0.132943,275,603,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.32113341204250295,-0.4321133412042503,0.745850622406639,0.32676348547717843,-0.4190871369294606,0.2793103448275862,0.06957928802588997,0.9465875370919882,0.7861271676300579,43,74,272,575,33,71,204,570,0.00024711584106457303,7.577401330946993e-41,1.1335573923268256e-43,237,641,-404
964,117,none,964,0.181889,0.154157,275,585,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.34238488783943327,-0.41086186540732,0.745850622406639,0.3454356846473029,-0.4004149377593361,0.2793103448275862,0.07166666666666667,0.9465875370919882,0.7967032967032966,43,74,290,557,33,71,204,552,0.00024711584106457303,7.638670353374005e-38,9.826602168783499e-41,237,623,-386
964,117,none,964,0.181889,0.17936,275,566,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.36481700118063753,-0.38842975206611574,0.745850622406639,0.3651452282157676,-0.3807053941908714,0.2793103448275862,0.07401032702237521,0.9465875370919882,0.8067885117493473,43,74,309,538,33,71,204,533,0.00024711584106457303,9.53888909658553e-35,1.0633609300643584e-37,237,604,-367
964,117,none,964,0.181889,0.187367,275,548,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.3860684769775679,-0.36717827626918537,0.745850622406639,0.38381742738589214,-0.3620331950207469,0.2793103448275862,0.0763765541740675,0.9465875370919882,0.8154613466334164,43,74,327,520,33,71,204,515,0.00024711584106457303,6.900288312085177e-32,6.832435908000264e-35,237,586,-349
964,117,none,964,0.181889,0.202575,275,529,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.4085005903187721,-0.34474616292798116,0.745850622406639,0.40352697095435686,-0.34232365145228216,0.2793103448275862,0.07904411764705882,0.9465875370919882,0.8238095238095238,43,74,346,501,33,71,204,496,0.00024711584106457303,5.942442513709285e-29,5.299567463549335e-32,237,567,-330
964,117,none,964,0.181889,0.215855,275,511,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.4297520661157025,-0.3234946871310508,0.745850622406639,0.4221991701244813,-0.3236514522821577,0.2793103448275862,0.0817490494296578,0.9465875370919882,0.8310502283105022,43,74,364,483,33,71,204,478,0.00024711584106457303,2.957151564422329e-26,2.441379537320189e-29,237,549,-312
964,117,none,964,0.181889,0.226944,275,493,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.4510035419126328,-0.30224321133412047,0.745850622406639,0.4408713692946058,-0.3049792531120332,0.2793103448275862,0.08464566929133858,0.9465875370919882,0.8377192982456141,43,74,382,465,33,71,204,460,0.00024711584106457303,1.2051577424970918e-23,9.435770331770703e-27,237,531,-294
964,117,none,964,0.181889,0.240744,275,474,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.36752136752136755,-0.32478632478632474,0.7532467532467533,0.4734356552538371,-0.2798110979929162,0.745850622406639,0.4605809128630705,-0.2852697095435685,0.2793103448275862,0.08793456032719836,0.9465875370919882,0.8442105263157895,43,74,401,446,33,71,204,441,0.00024711584106457303,5.4426027440079696e-21,4.150665548558002e-24,237,512,-275
964,117,none,964,0.181889,0.25845,275,456,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.358974358974359,-0.3333333333333333,0.7532467532467533,0.4935064935064935,-0.25974025974025977,0.745850622406639,0.47717842323651455,-0.26867219917012447,0.2793103448275862,0.08917197452229299,0.9465875370919882,0.847870182555781,42,75,418,429,32,71,204,424,0.00015323388084216908,1.0417423014677325e-18,5.154269719613657e-22,236,495,-259
964,117,none,964,0.181889,0.268723,275,437,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.358974358974359,-0.3333333333333333,0.7532467532467533,0.5159386068476978,-0.2373081463990555,0.745850622406639,0.49688796680497926,-0.24896265560165975,0.2793103448275862,0.09292035398230089,0.9465875370919882,0.853515625,42,75,437,410,32,71,204,405,0.00015323388084216908,2.859971497731134e-16,1.5168624548489426e-19,236,476,-240
964,117,none,964,0.181889,0.286439,275,419,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.358974358974359,-0.3333333333333333,0.7532467532467533,0.5371900826446281,-0.2160566706021252,0.745850622406639,0.5155601659751037,-0.23029045643153534,0.2793103448275862,0.0967741935483871,0.9465875370919882,0.8584905660377359,42,75,455,392,32,71,204,387,0.00015323388084216908,4.4650613033829626e-14,2.6368412830500598e-17,236,458,-222
964,117,none,964,0.181889,0.309386,275,400,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.358974358974359,-0.3333333333333333,0.7532467532467533,0.5596221959858324,-0.19362455726092087,0.745850622406639,0.5352697095435685,-0.21058091286307057,0.2793103448275862,0.10120481927710843,0.9465875370919882,0.8633879781420765,42,75,474,373,32,71,204,368,0.00015323388084216908,6.796086317806637e-12,4.7267065862898795e-15,236,439,-203
964,117,none,964,0.181889,0.322658,275,382,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.358974358974359,-0.3333333333333333,0.7532467532467533,0.5808736717827627,-0.17237308146399055,0.745850622406639,0.553941908713693,-0.19190871369294604,0.2793103448275862,0.10579345088161209,0.9465875370919882,0.8677248677248677,42,75,492,355,32,71,204,350,0.00015323388084216908,5.807143311016064e-10,4.978362959065238e-13,236,421,-185
964,117,none,964,0.181889,0.337521,275,364,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3504273504273504,-0.3418803418803419,0.7532467532467533,0.6009445100354192,-0.15230224321133412,0.745850622406639,0.5705394190871369,-0.17531120331950212,0.2793103448275862,0.10817941952506596,0.9465875370919882,0.8700854700854701,41,76,509,338,31,71,204,333,9.307650827247335e-05,2.865901940589468e-08,2.3193689376769166e-11,235,404,-169
964,117,none,964,0.181889,0.35466,275,345,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3504273504273504,-0.3418803418803419,0.7532467532467533,0.6233766233766234,-0.1298701298701299,0.745850622406639,0.5902489626556017,-0.15560165975103735,0.2793103448275862,0.11388888888888889,0.9465875370919882,0.8741721854304636,41,76,528,319,31,71,204,314,9.307650827247335e-05,1.5370094952643813e-06,1.8259211417690638e-09,235,385,-150
964,117,none,964,0.181889,0.367013,275,327,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3418803418803419,-0.3504273504273504,0.7532467532467533,0.6434474616292798,-0.10979929161747348,0.745850622406639,0.6068464730290456,-0.13900414937759342,0.2793103448275862,0.11695906432748537,0.9465875370919882,0.8762057877813505,40,77,545,302,30,71,204,297,5.5330705875801516e-05,3.768092968562275e-05,5.257968627850487e-08,234,368,-134
964,117,none,964,0.181889,0.385343,275,308,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3333333333333333,-0.358974358974359,0.7532467532467533,0.6646989374262101,-0.08854781582054316,0.745850622406639,0.6244813278008299,-0.12136929460580914,0.2793103448275862,0.12074303405572756,0.9465875370919882,0.8783151326053042,39,78,563,284,29,71,204,279,3.216001529566633e-05,0.0007430721637528911,1.4383664008638158e-06,233,350,-117
964,117,none,964,0.181889,0.407137,275,290,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3333333333333333,-0.358974358974359,0.7532467532467533,0.6859504132231405,-0.06729634002361273,0.745850622406639,0.6431535269709544,-0.10269709543568462,0.2793103448275862,0.12786885245901639,0.9465875370919882,0.881638846737481,39,78,581,266,29,71,204,261,3.216001529566633e-05,0.009332581277958477,3.584848605189109e-05,233,332,-99
964,117,none,964,0.181889,0.430955,275,272,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3247863247863248,-0.3675213675213675,0.7532467532467533,0.706021251475797,-0.0472255017709563,0.745850622406639,0.6597510373443983,-0.08609958506224069,0.2793103448275862,0.13240418118466898,0.9465875370919882,0.8833087149187593,38,79,598,249,28,71,204,244,1.825760094758522e-05,0.06527075156162351,0.00044450074371929076,232,315,-83
964,117,none,964,0.181889,0.443456,275,253,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3247863247863248,-0.3675213675213675,0.7532467532467533,0.7284533648170012,-0.024793388429752095,0.745850622406639,0.6794605809128631,-0.06639004149377592,0.2793103448275862,0.1417910447761194,0.9465875370919882,0.8864942528735632,38,79,617,230,28,71,204,225,1.825760094758522e-05,0.3342464593129176,0.006059258823196857,232,296,-64
964,117,none,964,0.181889,0.464916,275,235,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.3247863247863248,-0.3675213675213675,0.7532467532467533,0.7497048406139315,-0.0035419126328217754,0.745850622406639,0.6981327800829875,-0.047717842323651505,0.2793103448275862,0.152,0.9465875370919882,0.8893557422969187,38,79,635,212,28,71,204,207,1.825760094758522e-05,0.9214297886845892,0.046195478277257625,232,278,-46
964,117,none,964,0.181889,0.484362,275,216,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.2905982905982906,-0.40170940170940167,0.7532467532467533,0.7674144037780402,0.01416765053128688,0.745850622406639,0.7095435684647303,-0.036307053941908696,0.2793103448275862,0.1471861471861472,0.9465875370919882,0.8867667121418826,34,83,650,197,24,71,204,192,1.4640982465812786e-06,0.580475983945051,0.12484494580084508,228,263,-35
964,117,none,964,0.181889,0.502713,275,198,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.28205128205128205,-0.41025641025641024,0.7532467532467533,0.7874852420306966,0.03423848878394331,0.745850622406639,0.7261410788381742,-0.01970954356846477,0.2793103448275862,0.15492957746478872,0.9465875370919882,0.8881491344873502,33,84,667,180,23,71,204,175,7.254366616123082e-07,0.15026359967847086,0.40790017742943796,227,246,-19
964,117,none,964,0.181889,0.52174,275,180,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.28205128205128205,-0.41025641025641024,0.7532467532467533,0.8087367178276269,0.05548996458087363,0.745850622406639,0.7448132780082988,-0.0010373443983402453,0.2793103448275862,0.16923076923076924,0.9465875370919882,0.8907672301690507,33,84,685,162,23,71,204,157,7.254366616123082e-07,0.015359719166896709,1.0,227,228,-1
964,117,none,964,0.181889,0.547002,275,161,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.24786324786324787,-0.4444444444444444,0.7532467532467533,0.8264462809917356,0.07319952774498228,0.745850622406639,0.7562240663900415,0.010373443983402453,0.2793103448275862,0.16477272727272727,0.9465875370919882,0.8883248730964467,29,88,700,147,19,71,204,142,3.1271822773404575e-08,0.0010119915847664614,0.6665014716262776,223,213,10
964,117,none,964,0.181889,0.563991,275,143,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.23076923076923078,-0.4615384615384615,0.7532467532467533,0.8453364817001181,0.09208972845336483,0.745850622406639,0.770746887966805,0.024896265560165998,0.2793103448275862,0.17088607594936708,0.9465875370919882,0.8883374689826302,27,90,716,131,17,71,204,126,5.1539546966008475e-09,2.069675316406383e-05,0.2605781387195762,221,197,24
964,117,none,964,0.181889,0.583238,275,124,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.20512820512820512,-0.48717948717948717,0.7532467532467533,0.8642266824085005,0.11097992916174726,0.745850622406639,0.7842323651452282,0.038381742738589186,0.2793103448275862,0.17266187050359713,0.9465875370919882,0.8872727272727273,24,93,732,115,14,71,204,110,2.427174154689865e-10,1.2468338697943794e-07,0.07137220456586195,218,181,37
964,117,none,964,0.181889,0.607008,275,106,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.19658119658119658,-0.49572649572649574,0.7532467532467533,0.8842975206611571,0.1310507674144038,0.745850622406639,0.8008298755186722,0.05497925311203322,0.2793103448275862,0.19008264462809918,0.9465875370919882,0.8884934756820878,23,94,749,98,13,71,204,93,7.863919065998752e-11,1.0622786039559206e-10,0.007639140016533592,217,164,53
964,117,none,964,0.181889,0.630766,275,88,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.19658119658119658,-0.49572649572649574,0.7532467532467533,0.9055489964580874,0.15230224321133412,0.745850622406639,0.8195020746887967,0.07365145228215764,0.2793103448275862,0.22330097087378642,0.9465875370919882,0.8908246225319396,23,94,767,80,13,71,204,75,7.863919065998752e-11,5.877780040222176e-15,0.00022894264042637108,217,146,71
964,117,none,964,0.181889,0.657622,275,69,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.1623931623931624,-0.5299145299145299,0.7532467532467533,0.9232585596221959,0.17001180637544266,0.745850622406639,0.8309128630705395,0.08506224066390045,0.2793103448275862,0.2261904761904762,0.9465875370919882,0.8886363636363637,19,98,782,65,9,71,204,60,4.3739781822391746e-13,1.566515386740011e-19,1.150614777570827e-05,213,131,82
964,117,none,964,0.181889,0.683019,275,51,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.1452991452991453,-0.547008547008547,0.7532467532467533,0.9421487603305785,0.1889020070838252,0.745850622406639,0.8454356846473029,0.09958506224066388,0.2793103448275862,0.25757575757575757,0.9465875370919882,0.888641425389755,17,100,798,49,7,71,204,44,1.933200757632093e-14,8.278142087207331e-26,1.1669144522694232e-07,211,115,96
964,117,none,964,0.181889,0.730625,275,32,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.1282051282051282,-0.5641025641025641,0.7532467532467533,0.9622195985832349,0.20897284533648164,0.745850622406639,0.8609958506224067,0.11514522821576767,0.2793103448275862,0.3191489361702128,0.9465875370919882,0.8887677208287895,15,102,815,32,5,71,204,27,5.249233110119942e-16,8.277025629784665e-35,2.1992283400445305e-10,209,98,111
964,117,none,964,0.181889,0.794599,275,14,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.1111111111111111,-0.5811965811965811,0.7532467532467533,0.9811097992916175,0.22786304604486418,0.745850622406639,0.8755186721991701,0.1296680497925311,0.2793103448275862,0.4482758620689655,0.9465875370919882,0.8887700534759359,13,104,831,16,3,71,204,11,7.157428404298838e-18,3.5165461287722094e-47,1.2443118067328664e-13,207,82,125
964,117,none,964,0.181889,1.01,275,0,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.08547008547008547,-0.6068376068376068,0.7532467532467533,0.9940968122786304,0.24085005903187717,0.745850622406639,0.8838174273858921,0.13796680497925307,0.2793103448275862,0.6666666666666666,0.9465875370919882,0.8872497365648051,10,107,842,5,0,71,204,0,8.470329472543003e-22,7.778769097326427e-62,4.49140797733786e-16,204,71,133
964,117,none,964,0.215302,0.081236,268,640,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.38461538461538464,-0.30769230769230765,0.7532467532467533,0.2715466351829988,-0.48170011806375446,0.745850622406639,0.28526970954356845,-0.46058091286307057,0.2793103448275862,0.06797583081570997,0.9465875370919882,0.7615894039735099,45,72,230,617,34,70,198,606,0.0005342841899801615,7.3320126783573e-49,5.422325494139609e-51,232,676,-444
964,117,none,964,0.215302,0.118352,268,621,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.38461538461538464,-0.30769230769230765,0.7532467532467533,0.2939787485242031,-0.4592680047225502,0.745850622406639,0.3049792531120332,-0.4408713692946058,0.2793103448275862,0.06998444790046657,0.9465875370919882,0.7757009345794392,45,72,249,598,34,70,198,587,0.0005342841899801615,1.690260099219726e-45,9.933640784800463e-48,232,657,-425
