N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,GroupType,Group
964,117,0.075,137,0.707501,0.794599,42,6,0.8133028587574043,0.6742571918010515,0.7294496691048415,0.6923076923076923,0.6923076923076923,0.0,0.7532467532467533,0.7957497048406139,0.04250295159386064,0.745850622406639,0.783195020746888,0.03734439834024894,0.2793103448275862,0.3188976377952756,0.9465875370919882,0.9492957746478873,81,36,674,173,2,2,40,4,1.0,1.7051434042514302e-08,1.0087482138487758e-07,42,6,36,Gangnam_internal_CV,Overall,All
350,68,0.075,55,0.707501,0.794599,27,3,0.7712505214851898,0.6825874125874126,0.7206477732793521,0.8088235294117647,0.7794117647058824,-0.02941176470588236,0.5390070921985816,0.6170212765957447,0.07801418439716312,0.5914285714285714,0.6485714285714286,0.05714285714285716,0.2972972972972973,0.32919254658385094,0.9212121212121213,0.9206349206349206,53,15,174,108,0,2,25,3,0.5,2.744048833847046e-05,0.00032491423189640045,25,5,20,Gangnam_internal_CV,Sex,M
614,49,0.075,82,0.707501,0.794599,15,3,0.8112335199566552,0.6733203505355403,0.7076400071569153,0.5306122448979592,0.5714285714285714,0.04081632653061218,0.8601769911504424,0.8849557522123894,0.024778761061946986,0.8338762214983714,0.8599348534201955,0.026058631921824116,0.24761904761904763,0.3010752688172043,0.9548133595284872,0.9596928982725528,28,21,500,65,2,0,15,1,0.5,0.000518798828125,0.00014495849609375,17,1,16,Gangnam_internal_CV,Sex,F
232,20,0.075,23,0.707501,0.794599,5,1,0.799056603773585,0.5521367521367522,0.8229255774165953,0.65,0.65,0.0,0.7877358490566038,0.8066037735849056,0.018867924528301883,0.7758620689655172,0.7931034482758621,0.017241379310344862,0.22413793103448276,0.24074074074074073,0.9597701149425287,0.9606741573033708,13,7,171,41,0,0,5,1,1.0,0.21875,0.21875,5,1,4,Gangnam_internal_CV,Phase,Pre/noncontrast
731,97,0.075,114,0.707501,0.794599,37,5,0.8154167615207,0.7000089670014347,0.7060895084372707,0.7010309278350515,0.7010309278350515,0.0,0.7413249211356467,0.7917981072555205,0.050473186119873725,0.7359781121751026,0.7797537619699042,0.04377564979480164,0.29310344827586204,0.34,0.9418837675350702,0.9453860640301318,68,29,502,132,2,2,35,3,1.0,6.677873898297548e-08,4.4337048166198656e-07,37,5,32,Gangnam_internal_CV,Phase,Post/contrast
1,0,0.075,0,0.707501,0.794599,0,0,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Gangnam_internal_CV,Scanner,Aquilion
1,0,0.075,0,0.707501,0.794599,0,0,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Gangnam_internal_CV,Scanner,Aquilion ONE
187,22,0.075,36,0.707501,0.794599,15,0,0.8548209366391184,0.7851153039832285,0.7633928571428571,0.8181818181818182,0.8181818181818182,0.0,0.6787878787878788,0.7696969696969697,0.09090909090909083,0.6951871657754011,0.7754010695187166,0.0802139037433155,0.2535211267605634,0.32142857142857145,0.9655172413793104,0.9694656488549618,18,4,127,38,0,0,15,0,1.0,6.103515625e-05,6.103515625e-05,15,0,15,Gangnam_internal_CV,Scanner,Ingenuity Core 128
266,25,0.075,39,0.707501,0.794599,11,0,0.8004979253112033,0.7476415094339622,0.7222222222222221,0.64,0.6,-0.040000000000000036,0.7800829875518672,0.8215767634854771,0.04149377593360992,0.7669172932330827,0.8007518796992481,0.03383458646616544,0.2318840579710145,0.25862068965517243,0.9543147208121827,0.9519230769230769,15,10,198,43,0,1,10,0,1.0,0.001953125,0.01171875,10,1,9,Gangnam_internal_CV,Scanner,Revolution CT
162,26,0.075,23,0.707501,0.794599,2,4,0.7956730769230769,0.5735294117647058,0.7745098039215687,0.6538461538461539,0.6923076923076923,0.038461538461538436,0.75,0.7426470588235294,-0.007352941176470562,0.7345679012345679,0.7345679012345679,0.0,0.3333333333333333,0.33962264150943394,0.918918918918919,0.926605504587156,18,8,101,35,1,0,2,3,1.0,1.0,1.0,3,3,0,Gangnam_internal_CV,Scanner,SOMATOM Definition AS+
