N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,GroupType,Group
1090,129,0.1,246,0.663655,0.805333,86,9,0.8286668441303875,0.6821292275299382,0.6499636891793755,0.7906976744186046,0.7364341085271318,-0.054263565891472854,0.6899063475546305,0.7627471383975026,0.0728407908428721,0.7018348623853211,0.7596330275229358,0.05779816513761471,0.255,0.29411764705882354,0.9608695652173913,0.9556714471968709,95,34,733,228,2,9,77,7,0.0654296875,5.137564699362503e-16,3.467543657796265e-11,79,16,63,Gangnam_internal_CV,Overall,All
390,76,0.1,99,0.663655,0.805333,37,4,0.7841518605430775,0.7141467727674624,0.5928571428571429,0.8552631578947368,0.8421052631578947,-0.013157894736842146,0.445859872611465,0.5477707006369427,0.10191082802547768,0.5256410256410257,0.6051282051282051,0.07948717948717943,0.2719665271966527,0.3106796116504854,0.9271523178807947,0.9347826086956522,64,12,172,142,1,2,35,3,1.0,6.677873898297548e-08,7.84157236921601e-07,36,5,31,Gangnam_internal_CV,Sex,M
700,53,0.1,147,0.663655,0.805333,49,5,0.830888571345251,0.6270706190061028,0.6603728489483748,0.6981132075471698,0.5849056603773585,-0.1132075471698113,0.8083462132921174,0.8670788253477589,0.05873261205564151,0.8,0.8457142857142858,0.04571428571428571,0.22981366459627328,0.26495726495726496,0.9703153988868275,0.9622641509433962,31,22,561,86,1,7,42,4,0.0703125,5.100190492157708e-09,1.4013057456185862e-05,43,11,32,Gangnam_internal_CV,Sex,F
242,20,0.1,46,0.663655,0.805333,14,3,0.8234234234234235,0.5802968960863697,0.8675324675324676,0.65,0.65,0.0,0.7432432432432432,0.7927927927927928,0.0495495495495496,0.7355371900826446,0.78099173553719,0.045454545454545414,0.18571428571428572,0.22033898305084745,0.9593023255813954,0.9617486338797814,13,7,176,46,1,1,13,2,1.0,0.00738525390625,0.012725830078125,14,3,11,Gangnam_internal_CV,Phase,Pre/noncontrast
846,109,0.1,200,0.663655,0.805333,72,6,0.828078124805497,0.7002191244347056,0.5715725806451613,0.8165137614678899,0.7522935779816514,-0.06422018348623848,0.6729986431478969,0.7530529172320217,0.0800542740841248,0.6914893617021277,0.7529550827423168,0.0614657210401891,0.2696969696969697,0.3106060606060606,0.9612403100775194,0.9536082474226805,82,27,555,182,1,8,64,5,0.0390625,4.119230997967627e-14,1.807703105408552e-09,65,13,52,Gangnam_internal_CV,Phase,Post/contrast
1,0,0.1,0,0.663655,0.805333,0,0,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Gangnam_internal_CV,Scanner,Aquilion
1,0,0.1,1,0.663655,0.805333,1,0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,0,0,1,0,0,0,1,0,1.0,1.0,1.0,1,0,1,Gangnam_internal_CV,Scanner,Aquilion ONE
202,24,0.1,54,0.663655,0.805333,16,1,0.8370786516853933,0.7894736842105263,0.6275229357798164,0.7916666666666666,0.7916666666666666,0.0,0.6123595505617978,0.6966292134831461,0.0842696629213483,0.6336633663366337,0.7079207920792079,0.07425742574257421,0.2159090909090909,0.2602739726027397,0.956140350877193,0.9612403100775194,19,5,124,54,1,1,15,0,1.0,6.103515625e-05,0.000274658203125,16,1,15,Gangnam_internal_CV,Scanner,Ingenuity Core 128
1,0,0.1,0,0.663655,0.805333,0,0,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Gangnam_internal_CV,Scanner,Optima CT660
317,25,0.1,63,0.663655,0.805333,24,2,0.8165753424657535,0.7053445850914204,0.727028839704896,0.72,0.68,-0.039999999999999925,0.7294520547945206,0.8013698630136986,0.07191780821917804,0.7287066246056783,0.7917981072555205,0.06309148264984221,0.18556701030927836,0.22666666666666666,0.9681818181818181,0.9669421487603306,17,8,234,58,0,1,23,2,1.0,1.9431114196777344e-05,8.797645568847656e-05,23,3,20,Gangnam_internal_CV,Scanner,Revolution CT
1,0,0.1,0,0.663655,0.805333,0,0,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Gangnam_internal_CV,Scanner,SOMATOM Definition
182,30,0.1,47,0.663655,0.805333,18,4,0.8203947368421052,0.6392914653784219,0.7230320699708455,0.7666666666666667,0.7666666666666667,0.0,0.6447368421052632,0.7368421052631579,0.09210526315789469,0.6648351648351648,0.7417582417582418,0.07692307692307698,0.2987012987012987,0.36507936507936506,0.9333333333333333,0.9411764705882353,23,7,112,40,1,1,17,3,1.0,0.0025768280029296875,0.004343509674072266,18,4,14,Gangnam_internal_CV,Scanner,SOMATOM Definition AS+
4,1,0.1,0,0.663655,0.805333,0,0,1.0,1.0,,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1,0,1,2,0,0,0,0,1.0,1.0,1.0,0,0,0,Gangnam_internal_CV,Scanner,SOMATOM Definition Edge
1,0,0.1,0,0.663655,0.805333,0,0,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Gangnam_internal_CV,Scanner,SOMATOM Drive
380,49,0.1,81,0.663655,0.805333,27,2,0.8261298477094765,0.6312614739050616,0.5315126050420168,0.8367346938775511,0.7142857142857143,-0.12244897959183676,0.7190332326283988,0.7764350453172205,0.05740181268882172,0.7342105263157894,0.7684210526315789,0.03421052631578947,0.30597014925373134,0.3211009174311927,0.967479674796748,0.948339483394834,35,14,257,74,0,6,21,2,0.03125,6.604194641113281e-05,0.0241195447742939,21,8,13,Gangnam_internal_CV,Scanner,Sensation 64
926,141,0.1,182,0.663655,0.805333,65,2,0.833645028685007,0.7255283648498332,0.6752082807371875,0.8794326241134752,0.8439716312056738,-0.03546099290780147,0.5936305732484076,0.6675159235668789,0.07388535031847132,0.6371490280777538,0.6943844492440605,0.057235421166306755,0.2799097065462754,0.3131578947368421,0.9648033126293996,0.9597069597069597,119,22,524,261,0,5,60,2,0.0625,8.474124180146703e-16,1.3280368233066497e-11,60,7,53,Shinchon_sdata_external,Overall,All
428,98,0.1,75,0.663655,0.805333,38,2,0.8054421768707483,0.7551093766047037,0.6822660098522167,0.9285714285714286,0.9081632653061225,-0.020408163265306145,0.3515151515151515,0.45454545454545453,0.10303030303030303,0.48364485981308414,0.5584112149532711,0.07476635514018692,0.2983606557377049,0.3308550185873606,0.943089430894309,0.9433962264150944,89,9,150,180,0,2,36,2,0.5,5.398760549724102e-09,1.8570244719740003e-07,36,4,32,Shinchon_sdata_external,Sex,M
498,43,0.1,107,0.663655,0.805333,27,0,0.8238180424226936,0.6401154401154401,0.6551428571428572,0.7674418604651163,0.6976744186046512,-0.06976744186046513,0.7692307692307693,0.8219780219780219,0.05274725274725267,0.7690763052208835,0.8112449799196787,0.04216867469879515,0.2391304347826087,0.2702702702702703,0.9722222222222222,0.9664082687338501,30,13,374,81,0,3,24,0,0.25,1.1920928955078125e-07,4.9233436584472656e-05,24,3,21,Shinchon_sdata_external,Sex,F
622,103,0.1,125,0.663655,0.805333,47,1,0.8531530014778234,0.766657732511391,0.6268577494692145,0.883495145631068,0.8640776699029126,-0.019417475728155442,0.605009633911368,0.6897880539499036,0.08477842003853564,0.6511254019292605,0.7186495176848875,0.067524115755627,0.30743243243243246,0.356,0.9631901840490797,0.9623655913978495,89,14,358,161,0,2,45,1,0.5,1.3358203432289883e-12,1.312585595769633e-10,45,3,42,Shinchon_sdata_external,Phase,Pre/noncontrast
300,38,0.1,56,0.663655,0.805333,18,1,0.7942948975492166,0.6406543309198176,0.7798657718120806,0.868421052631579,0.7894736842105263,-0.07894736842105265,0.5687022900763359,0.6221374045801527,0.05343511450381677,0.6066666666666667,0.6433333333333333,0.036666666666666625,0.22602739726027396,0.23255813953488372,0.9675324675324676,0.9532163742690059,30,8,163,99,0,3,15,1,0.25,0.000518798828125,0.0192108154296875,15,4,11,Shinchon_sdata_external,Phase,Post/contrast
1,0,0.1,1,0.663655,0.805333,1,0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,0,0,1,0,0,0,1,0,1.0,1.0,1.0,1,0,1,Shinchon_sdata_external,Scanner,Aquilion
2,0,0.1,0,0.663655,0.805333,0,0,,,,,,,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0,0,1,1,0,0,0,0,1.0,1.0,1.0,0,0,0,Shinchon_sdata_external,Scanner,Aquilion ONE
6,1,0.1,1,0.663655,0.805333,0,1,0.8,0.5,,1.0,1.0,0.0,0.6,0.4,-0.19999999999999996,0.6666666666666666,0.5,-0.16666666666666663,0.3333333333333333,0.25,1.0,1.0,1,0,2,3,0,0,0,1,1.0,1.0,1.0,0,1,-1,Shinchon_sdata_external,Scanner,Discovery CT750 HD
50,9,0.1,14,0.663655,0.805333,5,0,0.8455284552845528,0.7333333333333334,0.46153846153846156,0.8888888888888888,0.8888888888888888,0.0,0.6341463414634146,0.7560975609756098,0.12195121951219512,0.68,0.78,0.09999999999999998,0.34782608695652173,0.4444444444444444,0.9629629629629629,0.96875,8,1,31,10,0,0,5,0,1.0,0.0625,0.0625,5,0,5,Shinchon_sdata_external,Scanner,LightSpeed VCT
13,4,0.1,1,0.663655,0.805333,1,0,0.8333333333333334,1.0,0.0,0.75,0.75,0.0,0.5555555555555556,0.6666666666666666,0.11111111111111105,0.6153846153846154,0.6923076923076923,0.07692307692307687,0.42857142857142855,0.5,0.8333333333333334,0.8571428571428571,3,1,6,3,0,0,1,0,1.0,1.0,1.0,1,0,1,Shinchon_sdata_external,Scanner,Revolution CT
149,43,0.1,27,0.663655,0.805333,9,0,0.8266783677051338,0.7303582652419861,0.58994708994709,0.8604651162790697,0.8372093023255814,-0.023255813953488302,0.5943396226415094,0.6698113207547169,0.07547169811320753,0.6711409395973155,0.7181208053691275,0.04697986577181201,0.4625,0.5070422535211268,0.9130434782608695,0.9102564102564102,36,7,71,35,0,1,8,0,1.0,0.0078125,0.0390625,8,1,7,Shinchon_sdata_external,Scanner,Revolution EVO
1,1,0.1,0,0.663655,0.805333,0,0,,,,1.0,1.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,,,1,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Shinchon_sdata_external,Scanner,Revolution Frontier
2,0,0.1,0,0.663655,0.805333,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,2,0,0,0,0,1.0,1.0,1.0,0,0,0,Shinchon_sdata_external,Scanner,SOMATOM Definition
166,17,0.1,22,0.663655,0.805333,8,0,0.8073430714567706,0.6426229508196721,0.9545454545454545,0.8823529411764706,0.8235294117647058,-0.05882352941176472,0.5906040268456376,0.6375838926174496,0.04697986577181201,0.6204819277108434,0.6566265060240963,0.036144578313252906,0.19736842105263158,0.20588235294117646,0.9777777777777777,0.9693877551020408,14,3,95,54,0,1,7,0,1.0,0.015625,0.0703125,7,1,6,Shinchon_sdata_external,Scanner,SOMATOM Definition AS+
1,0,0.1,0,0.663655,0.805333,0,0,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,,,1.0,1.0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,0,0,0,Shinchon_sdata_external,Scanner,SOMATOM Definition Edge
