N,Events,MarginGate,EligibleN,RuleOutThreshold,RuleInThreshold,RuleOutN,RuleInN,Clinical_AUC,RuleOut_AUC_in_clinical_positive,RuleIn_AUC_in_clinical_negative,Clinical_Sensitivity,Workflow_Sensitivity,SensitivityDiff,Clinical_Specificity,Workflow_Specificity,SpecificityDiff,Clinical_Accuracy,Workflow_Accuracy,AccuracyDiff,Clinical_PPV,Workflow_PPV,Clinical_NPV,Workflow_NPV,Workflow_TP,Workflow_FN,Workflow_TN,Workflow_FP,Rescued_FN,Lost_TP,Corrected_FP,Added_FP,Sensitivity_p,Specificity_p,Accuracy_p,Accuracy_improved,Accuracy_worsened,NetCorrected,Cohort,GroupType,Group
1090,129,0.100,246,0.664,0.805,86,9,0.829,0.682,0.650,0.791,0.736,-0.054,0.690,0.763,0.073,0.702,0.760,0.058,0.255,0.294,0.961,0.956,95,34,733,228,2,9,77,7,0.065,<0.001,<0.001,79,16,63,Gangnam_internal_CV,Overall,All
390,76,0.100,99,0.664,0.805,37,4,0.784,0.714,0.593,0.855,0.842,-0.013,0.446,0.548,0.102,0.526,0.605,0.079,0.272,0.311,0.927,0.935,64,12,172,142,1,2,35,3,1.000,<0.001,<0.001,36,5,31,Gangnam_internal_CV,Sex,M
700,53,0.100,147,0.664,0.805,49,5,0.831,0.627,0.660,0.698,0.585,-0.113,0.808,0.867,0.059,0.800,0.846,0.046,0.230,0.265,0.970,0.962,31,22,561,86,1,7,42,4,0.070,<0.001,<0.001,43,11,32,Gangnam_internal_CV,Sex,F
242,20,0.100,46,0.664,0.805,14,3,0.823,0.580,0.868,0.650,0.650,0.000,0.743,0.793,0.050,0.736,0.781,0.045,0.186,0.220,0.959,0.962,13,7,176,46,1,1,13,2,1.000,0.007,0.013,14,3,11,Gangnam_internal_CV,Phase,Pre/noncontrast
846,109,0.100,200,0.664,0.805,72,6,0.828,0.700,0.572,0.817,0.752,-0.064,0.673,0.753,0.080,0.691,0.753,0.061,0.270,0.311,0.961,0.954,82,27,555,182,1,8,64,5,0.039,<0.001,<0.001,65,13,52,Gangnam_internal_CV,Phase,Post/contrast
1,0,0.100,0,0.664,0.805,0,0,,,,,,,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,1.000,0,0,1,0,0,0,0,0,1.000,1.000,1.000,0,0,0,Gangnam_internal_CV,Scanner,Aquilion
1,0,0.100,1,0.664,0.805,1,0,,,,,,,0.000,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,0,0,1,0,0,0,1,0,1.000,1.000,1.000,1,0,1,Gangnam_internal_CV,Scanner,Aquilion ONE
202,24,0.100,54,0.664,0.805,16,1,0.837,0.789,0.628,0.792,0.792,0.000,0.612,0.697,0.084,0.634,0.708,0.074,0.216,0.260,0.956,0.961,19,5,124,54,1,1,15,0,1.000,<0.001,<0.001,16,1,15,Gangnam_internal_CV,Scanner,Ingenuity Core 128
1,0,0.100,0,0.664,0.805,0,0,,,,,,,1.000,1.000,0.000,1.000,1.000,0.000,,,1.000,1.000,0,0,1,0,0,0,0,0,1.000,1.000,1.000,0,0,0,Gangnam_internal_CV,Scanner,Optima CT660
317,25,0.100,63,0.664,0.805,24,2,0.817,0.705,0.727,0.720,0.680,-0.040,0.729,0.801,0.072,0.729,0.792,0.063,0.186,0.227,0.968,0.967,17,8,234,58,0,1,23,2,1.000,<0.001,<0.001,23,3,20,Gangnam_internal_CV,Scanner,Revolution CT
